category,protocol_name,num_forks,total_tvl,tvl_orig,tvl_forks,forks_names
Yield,StormSwap,0,10737.50185417312,10737.50185417312,0,[]
Yield,Defi Yield Protocol,0,10695.163597010582,10695.163597010582,0,[]
Yield,The Grand Banks,0,10689.471193556028,10689.471193556028,0,[]
Yield,Raven,0,10615.192064045495,10615.192064045495,0,[]
Yield,Eternal Finance,0,10276.693171812649,10276.693171812649,0,[]
Yield,Banksy Farm,0,9937.295822302556,9937.295822302556,0,[]
Yield,Tempus Finance,0,9766.620490414862,9766.620490414862,0,[]
Yield,Sapphire Defi,0,9669.653846153704,9669.653846153704,0,[]
Yield,BorgSwap,0,9434.305095011336,9434.305095011336,0,[]
Yield,Scallop,0,9356.55774756329,9356.55774756329,0,[]
Yield,Billion Happiness,0,8969.427448550377,8969.427448550377,0,[]
Yield,Skeleton Finance,0,8770.490243353008,8770.490243353008,0,[]
Yield,OliveDAO,0,8542.109720273691,8542.109720273691,0,[]
Yield,PolyYeld Finance,0,8538.393129008597,8538.393129008597,0,[]
Yield,DAOventures,0,7889.277882487597,7889.277882487597,0,[]
Yield,ArbiRise Finance,0,7845.162542,7845.162542,0,[]
Yield,Cyber Dog,0,7823.1735897858625,7823.1735897858625,0,[]
Yield,MarshmallowDeFi,0,7784.663990869354,7784.663990869354,0,[]
Yield,Brinc Finance,0,7597.5411910913535,7597.5411910913535,0,[]
Yield,GoblinGold,0,7418.791450365157,7418.791450365157,0,[]
Yield,Devil Finance,0,6728.818998482583,6728.818998482583,0,[]
Yield,Buffaloswap,0,6631.485121513253,6631.485121513253,0,[]
Yield,PRISM Protocol,0,6476.41158652774,6476.41158652774,0,[]
Yield,FATFIRE DEFI,0,6450.36199941526,6450.36199941526,0,[]
Yield,Baker Guild,0,6206.915605870761,6206.915605870761,0,[]
Yield,PureFi,0,5986.341203169694,5986.341203169694,0,[]
Yield,FantomPup,0,5967.552484854624,5967.552484854624,0,[]
Yield,Unknown,0,5850.9069860788,5850.9069860788,0,[]
Yield,Salem Finance,0,5846.147154222527,5846.147154222527,0,[]
Yield,Moneyrain Finance,0,5603.411351142898,5603.411351142898,0,[]
Yield,KingDefi,0,5340.987748339552,5340.987748339552,0,[]
Yield,Waterfall Finance Yield,0,5321.566240094297,5321.566240094297,0,[]
Yield,RetroDefi,0,4878.601755467986,4878.601755467986,0,[]
Yield,Defirex,0,4718.082035521561,4718.082035521561,0,[]
Yield,Polyquail,0,4609.632941524127,4609.632941524127,0,[]
Yield,OneRing,0,4604.9851565136,4604.9851565136,0,[]
Yield,Scranton Finance,0,4411.698460819441,4411.698460819441,0,[]
